VariableRef,FinancialSpreadsheetVariableCategoryRef,DisplayName,FinalPos,ItemPosition,FinancialSpreadsheetItemID,fkParentFinancialSpreadsheetItemID,fkFinancialSpreadsheetVariableID,fkFinancialSpreadsheetVariableCategoryID,AssumptionFormula,ProjectionFormula,ProjectionBaseYearFormula
CORP_ASUM_SRATE,CORP_ASSUM_BS,Ave. Int Rate on Short Term Debt,0,0,1326,,502,11,"Case Name: 
   Condition: true
   Formula: Math.Abs (Math.Avg (Math.Divide (YBN.CORP_IS_IE, ( Math.Sum(YBN.CORP_BS_STD, YBN.CORP_BS_BP, YBN.CORP_BS_LTD, YBN.CORP_BS_CPLTD )))))
",,
CORP_ASUM_SRATE_ATI,CORP_ASSUM_BS,Ave. Int Rate on Short Term Debt (%AddToInterest),1,1,1722,,829,11,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_LRATE,CORP_ASSUM_BS,Ave. Int Rate on Long Term Debt,2,2,1327,,503,11,"Case Name: 
   Condition: true
   Formula: Math.Abs (Math.Avg (Math.Divide (YBN.CORP_IS_IE, ( Math.Sum(YBN.CORP_BS_STD, YBN.CORP_BS_BP, YBN.CORP_BS_LTD, YBN.CORP_BS_CPLTD )))))
",,
CORP_ASUM_LRATE_ATI,CORP_ASSUM_BS,Ave. Int Rate on Long Term Debt (%AddToInterest),3,3,1723,,830,11,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_GS_PERSR,CORP_ASSUM_BS,% Sales,4,0,1509,1508,649,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_GS) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_GS, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_GS, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_GS_ABS,CORP_ASSUM_BS,Absolute,4,1,1510,1508,650,11,"Case Name: 
   Condition: true
   Formula: YB1.CORP_BS_GS 
",,
CORP_ASUM_GS_ATS,CORP_ASSUM_BS,%AddtoSales,4,2,1724,1508,831,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Government Securities,4,4,1508,,,11,,,
CORP_ASUM_MS_PERSR,CORP_ASSUM_BS,%Sales,5,0,1411,1356,459,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_MS) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_MS, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_MS, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_MS_ABS,CORP_ASSUM_BS,Absolute,5,1,1410,1356,460,11,"Case Name: 
   Condition: true
   Formula: YB1.CORP_BS_MS 
",,
CORP_ASUM_MS_ATS,CORP_ASSUM_BS,%AddtoSales,5,2,1725,1356,832,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Marketable Securities,5,5,1356,,,11,,,
CORP_ASUM_NAR_ARDOH,CORP_ASSUM_BS,ARDOH,6,0,1409,1407,461,11,"Case Name: 
   Condition: true
   Formula:  Math.Avg (Math.Divide (YBN.CORP_BS_NAR,YBN.CORP_IS_SR)) *365 
",,
CORP_ASUM_NAR_ABS,CORP_ASSUM_BS,Absolute,6,1,1408,1407,462,11,"Case Name: 
   Condition: true
   Formula: YB1.CORP_BS_NAR 
",,
